provider,region_name,type,metro,country,latitude,longitude,zones
Alibaba Cloud,China West 1 (Chengdu),Cloud Region,Chengdu,China,30.670000,104.071022,2
Tencent Cloud,Southwest China (Chengdu),Cloud Region,Chengdu,China,30.670000,104.071022,2
Tencent Cloud,Southwest China (Chongqing),Cloud Region,Chongqing,China,29.544001,106.522621,1
Alibaba Cloud,China (Fuzhou - Local Region),Cloud Region,Fuzhou,China,26.059285050938268,119.3073868980544,1
Alibaba Cloud,China South 3 (Guangzhou),Cloud Region,Guangzhou,China,23.107389,113.267616,2
Huawei Cloud,CN South Guangzhou,Cloud Region,Guangzhou,China,23.107389,113.267616,6
Tencent Cloud,South China (Guangzhou),Cloud Region,Guangzhou,China,23.107389,113.267616,5
Huawei Cloud,CN Southwest Guiyang,Cloud Region,Guiyang,China,26.58333,106.71667,3
Alibaba Cloud,China East 1 (Hangzhou),Cloud Region,Hangzhou,China,30.252501,120.165024,8
Alibaba Cloud,China South 2 (Heyuan),Cloud Region,Heyuan,China,23.730419,114.680023,2
Alibaba Cloud,China (Hong Kong),Cloud Region,Hong Kong,China,22.283325,114.158720,3
Amazon Web Services,China (Hong Kong),Cloud Region,Hong Kong,China,22.283325,114.158720,3
Google Cloud,Hong Kong,Cloud Region,Hong Kong,China,22.283325,114.158720,3
Huawei Cloud,CN-Hong Kong,Cloud Region,Hong Kong,China,22.283325,114.158720,4
Microsoft Azure,East Asia (Hong Kong),Cloud Region,Hong Kong,China,22.283325,114.158720,3
Tencent Cloud,Hong Kong,Cloud Region,Hong Kong,China,22.283325,114.158720,3
Alibaba Cloud,China North 5 (Hohhot),Cloud Region,Huhehaote,China,40.842585,111.749181,2
Huawei Cloud,CN Northwest Karamay,Cloud Region,Karamay,China,45.553142396747205,84.87656350058562,1
Alibaba Cloud,China East 3 (Nanjing),Cloud Region,Nanjing,China,32.048500,118.778969,1
Microsoft Azure,China East 3 (Jiangsu),Cloud Region,Nanjing,China,32.048500,118.778969,1
Tencent Cloud,East China (Nanjing),Cloud Region,Nanjing,China,32.048500,118.778969,3
Amazon Web Services,Mainland China (Ningxia),Cloud Region,Ningxiang,China,28.275333,112.552073,3
Alibaba Cloud,China North 1 (Qingdao),Cloud Region,Qingdao,China,36.087417,120.342734,2
Alibaba Cloud,China East 2 (Shanghai),Cloud Region,Shanghai,China,31.247571,121.472587,11
Huawei Cloud,CN East Shanghai1,Cloud Region,Shanghai,China,31.247571,121.472587,4
Huawei Cloud,CN East Shanghai2,Cloud Region,Shanghai,China,31.247571,121.472587,4
Microsoft Azure,China East (Shanghai),Cloud Region,Shanghai,China,31.247571,121.472587,1
Microsoft Azure,China East 2 (Shanghai),Cloud Region,Shanghai,China,31.247571,121.472587,1
Tencent Cloud,East China (Shanghai),Cloud Region,Shanghai,China,31.247571,121.472587,9
Alibaba Cloud,China East 2 (Shanghai),Cloud Region,Shanghai,China,31.298886,120.585316,11
Huawei Cloud,CN East Shanghai1,Cloud Region,Shanghai,China,31.298886,120.585316,4
Huawei Cloud,CN East Shanghai2,Cloud Region,Shanghai,China,31.298886,120.585316,4
Microsoft Azure,China East (Shanghai),Cloud Region,Shanghai,China,31.298886,120.585316,1
Microsoft Azure,China East 2 (Shanghai),Cloud Region,Shanghai,China,31.298886,120.585316,1
Tencent Cloud,East China (Shanghai),Cloud Region,Shanghai,China,31.298886,120.585316,9
Alibaba Cloud,China South 1 (Shenzhen),Cloud Region,Shenzhen,China,22.545539999999999,114.06829999999999,6
Huawei Cloud,CN South Shenzhen,Cloud Region,Shenzhen,China,22.545539999999999,114.06829999999999,1
Tencent Cloud,South China (Shenzen) ,Cloud Region,Shenzhen,China,22.545539999999999,114.06829999999999,3
Alibaba Cloud,China (Ulanqab),Cloud Region,Ulanqab,China,40.994785,113.132585,3
Huawei Cloud,CN North Ulanqab1 ,Cloud Region,Ulanqab,China,40.994785,113.132585,3
Alibaba Cloud,China (Wuhan - Local Region),Cloud Region,Wuhan,China,30.572399,114.279121,1
Huawei Cloud,Huawei Cloud East China (Wuhu),Cloud Region,Wuhu,China,31.33728,118.37351,3
Alibaba Cloud,China North 3 (Zhangjiakou),Cloud Region,Zhangjiakou,China,40.824418,114.887543,3
Oracle Cloud,Colombia Central (Bogota),Cloud Region,BogotÃ¡,Colombia,4.656370,-74.117790,1
Microsoft Azure,Denmark East (Copenhagen),Cloud Region,Copenhagen,Denmark,55.676183,12.569333,3
Huawei Cloud,Huawei Cloud North Africa (Cairo),Cloud Region,Cairo,Egypt,30.083740,31.255360,1
Google Cloud,Finland,Cloud Region,Hamina,Finland,60.566667,27.2,3
Microsoft Azure,Finland (Helsinki),Cloud Region,Helsinki,Finland,60.1712,24.932563,3
OVH,France (Gravelines),Cloud Region,Dunkerque,France,50.98707,2.125537,1
OVH,Western Europe (Roubaix),Cloud Region,Lille,France,50.691705,3.175200,1
Microsoft Azure,France South (Marseille),Cloud Region,Marseille,France,43.293579,5.372507,1
Oracle Cloud,France (Marseille),Cloud Region,Marseille,France,43.293579,5.372507,1
Amazon Web Services,Europe West (Paris),Cloud Region,Paris,France,48.856930,2.341200,3
Google Cloud,Paris,Cloud Region,Paris,France,48.856930,2.341200,3
Microsoft Azure,France Central (Paris),Cloud Region,Paris,France,48.856930,2.341200,3
Oracle Cloud,France Central (Paris),Cloud Region,Paris,France,48.856930,2.341200,1
OVH,Western Europe (Paris),Cloud Region,Paris,France,48.856930,2.341200,3
OVH,Western Europe (Strasbourg),Cloud Region,Strasbourg,France,48.585080,7.736430,1
Google Cloud,Berlin,Cloud Region,Berlin,Germany,52.516074,13.376987,3
Microsoft Azure,Germany North (Berlin),Cloud Region,Berlin,Germany,52.516074,13.376987,1
Alibaba Cloud,EU Central 1 (Frankfurt),Cloud Region,Frankfurt,Germany,50.112065,8.683415,3
Amazon Web Services,Europe Central (Frankfurt),Cloud Region,Frankfurt,Germany,50.112065,8.683415,3
Amazon Web Services,European Sovereign Cloud (Germany),Cloud Region,Frankfurt,Germany,50.112065,8.683415,3
Google Cloud,Frankfurt,Cloud Region,Frankfurt,Germany,50.112065,8.683415,3
IBM Cloud,Frankfurt,Cloud Region,Frankfurt,Germany,50.112065,8.683415,3
Microsoft Azure,Germany West Central (Frankfurt),Cloud Region,Frankfurt,Germany,50.112065,8.683415,3
Oracle Cloud,EU Sovereign Central (Frankfurt),Cloud Region,Frankfurt,Germany,50.112065,8.683415,1
Oracle Cloud,Germany Central (Frankfurt),Cloud Region,Frankfurt,Germany,50.112065,8.683415,3
OVH,Central Europe (Frankfurt),Cloud Region,Frankfurt,Germany,50.112065,8.683415,1
Tencent Cloud,Central Europe (Frankfurt),Cloud Region,Frankfurt,Germany,50.112065,8.683415,2
Microsoft Azure,Greece Central (Athens),Cloud Region,Athens,Greece,37.976093,23.736254,3
Microsoft Azure,South India (Chennai),Cloud Region,Chennai,India,13.063918,80.243049,1
Amazon Web Services,Asia Pacific (Hyderabad),Cloud Region,Hyderabad,India,17.612611,78.451538,3
Microsoft Azure,Southcentral (Hyderabad),Cloud Region,Hyderabad,India,17.612611,78.451538,3
Oracle Cloud,India South (Hyderabad),Cloud Region,Hyderabad,India,17.612611,78.451538,1
Amazon Web Services,Asia Pacific (Mumbai),Cloud Region,Mumbai,India,19.07608,72.875866,3
Google Cloud,Mumbai,Cloud Region,Mumbai,India,19.07608,72.875866,3
Microsoft Azure,West India (Mumbai),Cloud Region,Mumbai,India,19.07608,72.875866,1
Oracle Cloud,India West (Mumbai),Cloud Region,Mumbai,India,19.07608,72.875866,1
OVH,India (Mumbai),Cloud Region,Mumbai,India,19.07608,72.875866,1
Tencent Cloud,South Asia (Mumbai),Cloud Region,Mumbai,India,19.07608,72.875866,2
Google Cloud,Delhi,Cloud Region,New Delhi,India,28.635308,77.224960,3
Microsoft Azure,Central India (Pune),Cloud Region,Pune,India,18.526710,73.861600,3
Oracle Cloud,Indonesia North (Batam),Cloud Region,Batam,Indonesia,0.8378388,103.723443,1
Alibaba Cloud,Asia Pacific SE 5 (Jakarta),Cloud Region,Jakarta,Indonesia,-6.171588,106.827868,3
Amazon Web Services,Indonesia (Jakarta),Cloud Region,Jakarta,Indonesia,-6.171588,106.827868,3
Google Cloud,Jakarta,Cloud Region,Jakarta,Indonesia,-6.171588,106.827868,3
Huawei Cloud,AP Jakarta,Cloud Region,Jakarta,Indonesia,-6.171588,106.827868,3
Microsoft Azure,Indonesia Central (Jakarta),Cloud Region,Jakarta,Indonesia,-6.171588,106.827868,3
Tencent Cloud,Southeast Asia Pacific (Jakarta),Cloud Region,Jakarta,Indonesia,-6.171588,106.827868,2
Amazon Web Services,Europe West (Ireland),Cloud Region,Dublin,Ireland,53.348114,-6.248262,3
Huawei Cloud,EU Dublin,Cloud Region,Dublin,Ireland,53.348114,-6.248262,2
Microsoft Azure,North Europe (Dublin),Cloud Region,Dublin,Ireland,53.348114,-6.248262,3
Oracle Cloud,Israel Central (Jerusalem),Cloud Region,Jerusalem,Israel,31.773600,35.224998,1
Amazon Web Services,Middle East (Tel Aviv),Cloud Region,Tel Aviv,Israel,32.045043,34.769661,3
Google Cloud,Tel Aviv,Cloud Region,Tel Aviv,Israel,32.045043,34.769661,3
Microsoft Azure,Israel Central (Tel Aviv),Cloud Region,Tel Aviv,Israel,32.045043,34.769661,3
Oracle Cloud,Israel 2 (Tel Aviv),Cloud Region,Tel Aviv,Israel,32.045043,34.769661,1
Amazon Web Services,Europe (Milan),Cloud Region,Milan,Italy,45.468945,9.181030,3
Google Cloud,Milan,Cloud Region,Milan,Italy,45.468945,9.181030,3
Microsoft Azure,Italy North (Milan),Cloud Region,Milan,Italy,45.468945,9.181030,3
Oracle Cloud,Italy Northwest (Milan),Cloud Region,Milan,Italy,45.468945,9.181030,1
Google Cloud,Turin,Cloud Region,Turin,Italy,45.069512,7.705403,3
Oracle Cloud,Italy 2 (Turin),Cloud Region,Turin,Italy,45.069512,7.705403,1
Amazon Web Services,Asia Pacific (Osaka),Cloud Region,Osaka,Japan,34.677471,135.503235,3
Google Cloud,Osaka,Cloud Region,Osaka,Japan,34.677471,135.503235,3
IBM Cloud,Osaka,Cloud Region,Osaka,Japan,34.677471,135.503235,3
Microsoft Azure,Japan West (Osaka),Cloud Region,Osaka,Japan,34.677471,135.503235,1
Oracle Cloud,Japan Central (Osaka),Cloud Region,Osaka,Japan,34.677471,135.503235,1
Tencent Cloud,Northeast Asia Pacific 2 (Osaka),Cloud Region,Osaka,Japan,34.677471,135.503235,1
Alibaba Cloud,Asia Pacific NE 1 (Tokyo),Cloud Region,Tokyo,Japan,35.5092405,139.7698121,3
Amazon Web Services,Asia Pacific (Tokyo),Cloud Region,Tokyo,Japan,35.5092405,139.7698121,4
Google Cloud,Tokyo,Cloud Region,Tokyo,Japan,35.5092405,139.7698121,3
IBM Cloud,Tokyo,Cloud Region,Tokyo,Japan,35.5092405,139.7698121,3
Microsoft Azure,"Japan East (Saitama, Tokyo)",Cloud Region,Tokyo,Japan,35.5092405,139.7698121,3
Oracle Cloud,Japan East (Tokyo),Cloud Region,Tokyo,Japan,35.5092405,139.7698121,1
Tencent Cloud,Northeast Asia Pacific (Tokyo),Cloud Region,Tokyo,Japan,35.5092405,139.7698121,2
Alibaba Cloud,Asia Pacific NE 1 (Tokyo),Cloud Region,Tokyo,Japan,35.8617292,139.6454822,3
Amazon Web Services,Asia Pacific (Tokyo),Cloud Region,Tokyo,Japan,35.8617292,139.6454822,4
Google Cloud,Tokyo,Cloud Region,Tokyo,Japan,35.8617292,139.6454822,3
IBM Cloud,Tokyo,Cloud Region,Tokyo,Japan,35.8617292,139.6454822,3
Microsoft Azure,"Japan East (Saitama, Tokyo)",Cloud Region,Tokyo,Japan,35.8617292,139.6454822,3
Oracle Cloud,Japan East (Tokyo),Cloud Region,Tokyo,Japan,35.8617292,139.6454822,1
Tencent Cloud,Northeast Asia Pacific (Tokyo),Cloud Region,Tokyo,Japan,35.8617292,139.6454822,2
Microsoft Azure,East Africa (Nairobi),Cloud Region,Nairobi,Kenya,-1.277298,36.806261,3
Oracle Cloud,Kenya (Nairobi),Cloud Region,Nairobi,Kenya,-1.277298,36.806261,1
Alibaba Cloud,Asia Pacific SE 3 (Kuala Lumpur),Cloud Region,Kuala Lumpur,Malaysia,3.104665,101.691170,3
Amazon Web Services,Malaysia,Cloud Region,Kuala Lumpur,Malaysia,3.104665,101.691170,3
Microsoft Azure,Malaysia West (Kuala Lumpur),Cloud Region,Kuala Lumpur,Malaysia,3.104665,101.691170,3
Oracle Cloud,Malaysia,Cloud Region,Kuala Lumpur,Malaysia,3.104665,101.691170,1
Huawei Cloud,LA-Mexico City1,Cloud Region,Mexico City,Mexico,19.431900,-99.132851,2
Huawei Cloud,LA-Mexico City2,Cloud Region,Mexico City,Mexico,19.431900,-99.132851,2
Oracle Cloud,Mexico Northeast (Monterrey),Cloud Region,Monterrey,Mexico,25.670975,-100.309959,1
Alibaba Cloud,Mexico (QuerÃ©taro),Cloud Region,Santiago de QuerÃ©taro,Mexico,20.6121228,-100.4802578,1
Amazon Web Services,AWS Mexico central,Cloud Region,Santiago de QuerÃ©taro,Mexico,20.6121228,-100.4802578,3
Google Cloud,Mexico,Cloud Region,Santiago de QuerÃ©taro,Mexico,20.6121228,-100.4802578,3
Microsoft Azure,Mexico Central (QuerÃ©taro),Cloud Region,Santiago de QuerÃ©taro,Mexico,20.6121228,-100.4802578,3
Oracle Cloud,Mexico Central (QuerÃ©taro),Cloud Region,Santiago de QuerÃ©taro,Mexico,20.6121228,-100.4802578,1
Oracle Cloud,Morocco 1 (Casablanca),Cloud Region,Casablanca,Morocco,33.605381,-7.631940,1
Oracle Cloud,Morocco 2 (Settat),Cloud Region,Settat,Morocco,33.003193,-7.616129,1
Microsoft Azure,West Europe (Amsterdam),Cloud Region,Amsterdam,Netherlands,52.7935659,4.9350576,3
Oracle Cloud,Netherlands Northwest (Amsterdam),Cloud Region,Amsterdam,Netherlands,52.7935659,4.9350576,1
Microsoft Azure,West Europe (Amsterdam),Cloud Region,Amsterdam,Netherlands,52.354775,4.7585408,3
Oracle Cloud,Netherlands Northwest (Amsterdam),Cloud Region,Amsterdam,Netherlands,52.354775,4.7585408,1
Google Cloud,Netherlands,Cloud Region,Groningen,Netherlands,53.442799,6.816020,3
Amazon Web Services,Asia Pacific (Auckland),Cloud Region,Auckland,New Zealand,-36.884209,174.770419,3
Google Cloud,New Zealand,Cloud Region,Auckland,New Zealand,-36.884209,174.770419,3
Microsoft Azure,New Zealand North (Auckland),Cloud Region,Auckland,New Zealand,-36.884209,174.770419,3
Google Cloud,Norway,Cloud Region,Oslo,Norway,59.912280,10.749980,3
Microsoft Azure,Norway East (Oslo),Cloud Region,Oslo,Norway,59.912280,10.749980,3
Microsoft Azure,Norway West (Stavanger),Cloud Region,Stavanger,Norway,58.970833,5.730794,1
Huawei Cloud,LA-Lima1,Cloud Region,Lima,Peru,-12.043600,-77.021217,2
Alibaba Cloud,Asia Pacific SE 6 (Manila),Cloud Region,Manila,Philippines,14.609620,121.005890,2
Huawei Cloud,AP-Manila,Cloud Region,Manila,Philippines,14.609620,121.005890,3
OVH,Western Europe ,Cloud Region,Sochaczew,Poland,52.229337,20.238359,1
Google Cloud,Warsaw,Cloud Region,Warsaw,Poland,52.235370,21.009485,3
Microsoft Azure,Poland Central (Warsaw),Cloud Region,Warsaw,Poland,52.235370,21.009485,3
OVH,Central Europe (Warsaw),Cloud Region,Warsaw,Poland,52.235370,21.009485,1
